,0
0,4.011225996194856
1,4.105314982254993
2,3.8784760645293757
3,1.5981021762147198
4,1.2905417443603637
5,3.8390531028556647
6,3.379789938439471
7,6.317471760212587
8,10.79612463277677
9,1.2246865715963522
10,2.758151350254278
11,1.20464622449645
12,0.9774661834005419
13,0.8728773471940767
14,3.841326943146497
15,1.443687472047563
16,2.724009074563293
17,18.99414379544974
18,2.0716577061183616
19,1.2097630615649597
20,4.2377921518711785
21,1.2268586700949033
22,1.463177370734179
23,2.7265861917426886
24,0.890821127038227
25,11.23173168128619
26,7.188664879491123
27,2.1368258028584033
28,1.6058324448096155
29,2.748961822267067
